Center-X(mm),Center-Y(mm),Comment,Description,Designator,Footprint,Layer,LibRef,Quantity,Rotation,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,Ref-X(mm),Ref-Y(mm)
"32.137","15.537","470nF","KON 470nF X5R 6.3V SMD 20%","C29","CAPC0603X33N","Top","24921","1","90","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","32.137","15.537"
"37.677","15.587","470nF","KON 470nF X5R 6.3V SMD 20%","C30","CAPC0603X33N","Top","24921","1","90","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","37.677","15.587"
"33.702","14.443","10µF","KON 10µF 16V X5R SMD 20%","C31","CAPC1608X90N","Top","25341","1","270","Default","02","","10u","25341","1608 (0603)","SMT","Yes","X5R","20%","","16V","33.702","14.443"
"20.85","30.15","470nF","KON 470nF X5R 6.3V SMD 20%","C32","CAPC0603X33N","Top","24921","1","270","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","20.85","30.15"
"28.6","40.65","470nF","KON 470nF X5R 6.3V SMD 20%","C33","CAPC0603X33N","Top","24921","1","270","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.6","40.65"
"44.9","20","470nF","KON 470nF X5R 6.3V SMD 20%","C34","CAPC0603X33N","Top","24921","1","90","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","44.9","20"
"14.213","26.158","470nF","KON 470nF X5R 6.3V SMD 20%","C35","CAPC0603X33N","Top","24921","1","180","Default","02","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","14.213","26.158"
"7","43.2","100nF","KON 100nF 25V X5R SMD","C36","CAPC1005X55N","Top","22472","1","180","Default","02","","100n","22472","1005 (0402)","SMT","Yes","X7R","","","25V","7","43.2"
"51.97","61.28","PD3S230H","PD3S230H","D1","PowerDI323","Top","24682","1","90","Default","02","","","24682","PowerDI323","SMT","","","","","","51.97","60.98"
"39.84","65.63","LED, RGB, 3528 PLCC","LED, RGB, 3528 PLCC","D2","PLCC150P360X280X190-4N-WE","Top","26741","1","180","Default","02","","","26741","1411 (3528) PLCC","SMT","","","","","","39.84","65.63"
"5.55","40.05","CDBQR0230L","CDBQR0230L","D3","DIOC1006X55N","Top","26726","1","90","Default","02","","30V","26726","SOD-923F (0402)","SMT","","","","","0.2A","5.55","40.05"
"20.15","45.1","CDBQR0230L","CDBQR0230L","D4","DIOC1006X55N","Top","26726","1","0","Default","02","","30V","26726","SOD-923F (0402)","SMT","","","","","0.2A","20.15","45.1"
"42.19","15.85","CDBQR0230L","CDBQR0230L","D5","DIOC1006X55N","Top","26726","1","0","Default","02","","30V","26726","SOD-923F (0402)","SMT","","","","","0.2A","42.19","15.85"
"42.94","60.39","LED Green SML-P11MTT86","LED Grün SML-P11MTT86 SMD","D6","LEDC1006X25N_GREEN","Top","24211","1","0","Default","02","","","24211","1005 (0402)","SMT","Yes","","","","","42.94","60.39"
"13.24","61.775","microSD Memory Card Connector with Detec","microSD Memory Card Connector with Detect Switch","J2","104031-0811","Top","26322","1","180","Default","02","Yes","","26322","microSD","SMT","","","","","","13.232","61.7"
"28.52","57.99","PMod 2x6 Socket 90°","PMod 2x6 Socket 90°","J8","PMod2x6","Top","25215","1","0","Default","02","Yes","","25215","","THT","","","","23185","","28.52","57.99"
"47.24","65.499","Micro USB B Buche","STE USB MICRO B Buchse SMD","J9","Micro USB B SMD W+P","Top","23760","1","180","Default","02","Yes","","23760","","SMT","","","","","","47.24","66.78"
"29.25","50.1","SMD-254-9132-14-6","Stiftleiste gerade 2-reihig, 6pol. SMD","J10","SMD-254-9132-14-6","Top","22742","1","180","Default","02","Yes","","22742","","SMT","","","","","","29.25","50.1"
"41.68","55.28","BKP0603HS121-T","Ferritdurchführung SMD 0201","L1","INDC0603X33N","Top","25393","1","90","Default","02","Yes","","25393","0603 (0201)","SMT","Yes","","25%","","","41.68","55.28"
"39.26","54.08","BKP0603HS121-T","Ferritdurchführung SMD 0201","L2","INDC0603X33N","Top","25393","1","180","Default","02","Yes","","25393","0603 (0201)","SMT","Yes","","25%","","","39.26","54.08"
"46.27","53.34","BKP0603HS121-T","Ferritdurchführung SMD 0201","L3","INDC0603X33N","Top","25393","1","90","Default","02","Yes","","25393","0603 (0201)","SMT","Yes","","25%","","","46.27","53.34"
"3.34","63.36","FIDU-DOT - small","FIDU-DOT - SMALL","PM1","FIDU-DOT - small","Top","22905","1","0","Default","02","","","22905","","FIDU","","","","","","3.34","63.36"
"12.34","2.58","FIDU-DOT - small","FIDU-DOT - SMALL","PM2","FIDU-DOT - small","Top","22905","1","0","Default","02","","","22905","","FIDU","","","","","","12.34","2.58"
"39.99","5.38","FIDU-DOT - small","FIDU-DOT - SMALL","PM3","FIDU-DOT - small","Top","22905","1","0","Default","02","","","22905","","FIDU","","","","","","39.99","5.38"
"2","66.58","FIDU-DOT - small","FIDU-DOT - SMALL","PM4","FIDU-DOT - small","Bottom","22905","1","180","Default","02","","","22905","","FIDU","","","","","","2","66.58"
"12.34","2.58","FIDU-DOT - small","FIDU-DOT - SMALL","PM5","FIDU-DOT - small","Bottom","22905","1","180","Default","02","","","22905","","FIDU","","","","","","12.34","2.58"
"47.34","7.58","FIDU-DOT - small","FIDU-DOT - SMALL","PM6","FIDU-DOT - small","Bottom","22905","1","180","Default","02","","","22905","","FIDU","","","","","","47.34","7.58"
"24.95","43.55","12K","WID SMD 12K 1% 0,063W","R1","RESC1005X40N","Top","22598","1","180","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","24.95","43.55"
"25.8","42.65","12K","WID SMD 12K 1% 0,063W","R2","RESC1005X40N","Top","22598","1","0","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","25.8","42.65"
"27.5","42.65","12K","WID SMD 12K 1% 0,063W","R3","RESC1005X40N","Top","22598","1","180","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","27.5","42.65"
"27.61","40.37","33R","WID SMD 33R 1% 0,05W","R4","RESC0603X26N","Top","25021","1","90","Default","02","","33","25021","0603 (0201)","SMT","Yes","","1%","","","27.61","40.37"
"28.36","43.55","12K","WID SMD 12K 1% 0,063W","R5","RESC1005X40N","Top","22598","1","0","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","28.36","43.55"
"30.15","42.65","12K","WID SMD 12K 1% 0,063W","R6","RESC1005X40N","Top","22598","1","180","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","30.15","42.65"
"9.6","23.65","12K","WID SMD 12K 1% 0,063W","R7","RESC1005X40N","Top","22598","1","90","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","9.6","23.65"
"40.76","62.32","240R","WID SMD 240R 1% 0,063W","R8","RESC1005X40N","Top","23661","1","90","Default","02","","240","23661","1005 (0402)","SMT","Yes","","1%","","","40.76","62.32"
"39.86","62.32","240R","WID SMD 240R 1% 0,063W","R9","RESC1005X40N","Top","23661","1","90","Default","02","","240","23661","1005 (0402)","SMT","Yes","","1%","","","39.86","62.32"
"38.96","62.32","240R","WID SMD 240R 1% 0,063W","R10","RESC1005X40N","Top","23661","1","90","Default","02","","240","23661","1005 (0402)","SMT","Yes","","1%","","","38.96","62.32"
"8.7","23.65","12K","WID SMD 12K 1% 0,063W","R11","RESC1005X40N","Top","22598","1","90","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","8.7","23.65"
"40.78","52.61","12K","WID SMD 12K 1% 0,063W","R12","RESC1005X40N","Top","22598","1","270","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","40.78","52.61"
"36.76","53.17","2K61","WID SMD 2K61 1% 0,063W","R13","RESC1005X40N","Top","23730","1","270","Default","02","","2.61K","23730","1005 (0402)","SMT","Yes","","1%","","","36.76","53.17"
"48","44.15","12K","WID SMD 12K 1% 0,063W","R14","RESC1005X40N","Top","22598","1","0","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","48","44.15"
"48","45.05","2K61","WID SMD 2K61 1% 0,063W","R15","RESC1005X40N","Top","23730","1","180","Default","02","","2.61K","23730","1005 (0402)","SMT","Yes","","1%","","","48","45.05"
"42.55","53.99","33R","WID SMD 33R 1% 0,05W","R16","RESC0603X26N","Top","25021","1","90","Default","02","","33","25021","0603 (0201)","SMT","Yes","","1%","","","42.55","53.99"
"42.88","52.67","33R","WID SMD 33R 1% 0,05W","R17","RESC0603X26N","Top","25021","1","270","Default","02","","33","25021","0603 (0201)","SMT","Yes","","1%","","","42.88","52.67"
"15.7","26.25","12K","WID SMD 12K 1% 0,063W","R18","RESC1005X40N","Top","22598","1","0","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","15.7","26.25"
"8.9","14.05","12K","WID SMD 12K 1% 0,063W","R19","RESC1005X40N","Top","22598","1","180","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","8.9","14.05"
"21.58","40.62","100R","WID SMD 100R 1% 0,063W","R20","RESC1005X40N","Top","22507","1","90","Default","02","","100","22507","1005 (0402)","SMT","Yes","","1%","","","21.58","40.62"
"8.9","14.95","12K","WID SMD 12K 1% 0,063W","R21","RESC1005X40N","Top","22598","1","180","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","8.9","14.95"
"42.843","59.367","240R","WID SMD 240R 1% 0,063W","R22","RESC1005X40N","Top","23661","1","0","Default","02","","240","23661","1005 (0402)","SMT","Yes","","1%","","","42.843","59.368"
"20.35","22.1","12K","WID SMD 12K 1% 0,063W","R23","RESC1005X40N","Top","22598","1","0","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","20.35","22.1"
"17.4","26.25","12K","WID SMD 12K 1% 0,063W","R24","RESC1005X40N","Top","22598","1","180","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","17.4","26.25"
"20.35","23","12K","WID SMD 12K 1% 0,063W","R25","RESC1005X40N","Top","22598","1","0","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","20.35","23"
"10.1","41.85","12K","WID SMD 12K 1% 0,063W","R26","RESC1005X40N","Top","22598","1","270","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","10.1","41.85"
"5.7","41.85","12K","WID SMD 12K 1% 0,063W","R27","RESC1005X40N","Top","22598","1","90","Default","02","","12K","22598","1005 (0402)","SMT","Yes","","","","","5.7","41.85"
"3.75","66.387","KMS221GLFS","KMS221GLFS - SWITCH, SPST, 0.05A, 32VDC, SMD","S1","KMS2xxGLFS","Top","26229","1","180","Default","02","","","26229","","SMT","","","","","","3.75","66.7"
"8.4","19.25","CHS-04TA","DIP Schalter 4 fach 1,27mm SMD","S2","CHS-04TA","Top","23417","1","270","Default","02","Yes","","23417","","SMT","Yes","","","","","8.4","19.25"
"8.9","27.7","EN5311QI","EN5311QI","U1","EN5311QI","Top","25492","1","180","Default","02","Yes","","25492","QFN20","SMT","Yes","","","","","8.9","27.7"
"39.63","46.65","FT2232HQ","FT2232HQ","U2","QFN50P900X900X100-65N-445","Top","24727","1","270","Default","02","Yes","","24727","QFN64","SMT","Yes","","","","","39.63","46.65"
"47.535","60.87","PRTR5V0U2X,215","PRTR5V0U2X,215","U3","SOT190P229X114-4N","Top","24840","1","0","Default","02","","","24840","SOT143","SMT","Yes","","","","","47.56","60.87"
"47.48","47.89","93AA56BT-I/OT","93AA56BT-I/OT","U4","SOT95P280X145-6N","Top","24730","1","90","Default","02","Yes","","24730","SOT23-6","SMT","Yes","","","","","47.48","47.89"
"44.45","54.68","SiT8008AI-73-XXS-12.000000E","SiT8008AI-73-XXS-12.000000E MEMS Oszillator 12MHz","U5","2016","Top","25325","1","270","Default","02","Yes","12M","25325","2.0  x 1.6mm","SMT","Yes","","","","","44.45","54.68"
"7.9","41.4","TPS3805H33DCKR","TPS3805H33DCKR","U6","SOT65P210X110-5N","Top","25049","1","180","Default","02","Yes","","25049","SC70-5 / SC88A / SOT353","SMT","Yes","","","","","7.9","41.4"
"32.86","28.1","ICE40HX1K-TQ144","ICE40HX1K-TQ144","U9","QFP50P2200X2200X160-144N","Top","26738","1","270","Default","02","","","26738","TQ144","SMT","","","","","","32.86","28.1"
"16.55","21.15","S25FL127SABMFV10","S25FL127SABMFV10 automotive SO8","U10","SOIC127P790X216-8N","Top","26078","1","90","Default","02","","","26078","SO8W","SMT","","","","","","16.55","21.15"
"9.65","36.5","EN5311QI","EN5311QI","U20","EN5311QI","Top","25492","1","180","Default","02","Yes","","25492","QFN20","SMT","Yes","","","","","9.65","36.5"
